Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.84     0.00   259957     0.00     0.00  Getcolnumber_44038
  0.00      3.84     0.00   254319     0.00     0.00  Initidtable_33272
  0.00      3.84     0.00   222848     0.00     0.00  Paramtypesmatch_83294
  0.00      3.84     0.00   219715     0.00     0.00  Getlineinfo_45294
  0.00      3.84     0.00   215119     0.00     0.00  Containsgenerictypeiter_81954
  0.00      3.84     0.00   213953     0.00     0.00  Intsetput_35577
  0.00      3.84     0.00   203424     0.00     0.00  Skipcomment_47104
  0.00      3.84     0.00   194204     0.00     0.00  rawNewString
  0.00      3.84     0.00   174404     0.00     0.00  Iterovertypeaux_58498
  0.00      3.84     0.00   152666     0.00     0.00  Tocchar_103007
  0.00      3.84     0.00   152104     0.00     0.00  Skiprange_58077
  0.00      3.84     0.00   151990     0.00     0.00  nimCharToStr
  0.00      3.84     0.00   148589     0.00     0.00  Nextoverloaditer_68066
  0.00      3.84     0.00   139471     0.00     0.00  Initloc_104122
  0.00      3.84     0.00   138994     0.00     0.00  Rdloc_106646
  0.00      3.84     0.00   136736     0.00     0.00  Con_30021
  0.00      3.84     0.00   132397     0.00     0.00  Add_4624
  0.00      3.84     0.00   127118     0.00     0.00  Newsymnode_33252
  0.00      3.84     0.00   125431     0.00     0.00  Handlerange_82878
  0.00      3.84     0.00   121172     0.00     0.00  Idtablehasobjectaskey_36187
  0.00      3.84     0.00   120874     0.00     0.00  Strtableadd_36067
  0.00      3.84     0.00   120589     0.00     0.00  Initlocexpr_106844
  0.00      3.84     0.00   120548     0.00     0.00  Nextiter_36089
  0.00      3.84     0.00   119355     0.00     0.00  Appf_30076
  0.00      3.84     0.00   117222     0.00     0.00  Strtableget_36072
  0.00      3.84     0.00   116732     0.00     0.00  Skipvargeneric_58089
  0.00      3.84     0.00   115785     0.00     0.00  Checkminsonslen_67099
  0.00      3.84     0.00    90924     0.00     0.00  App_30033
  0.00      3.84     0.00    88416     0.00     0.00  Primary_47399
  0.00      3.84     0.00    87581     0.00     0.00  nimInt64ToStr
  0.00      3.84     0.00    87558     0.00     0.00  Torope_30054
  0.00      3.84     0.00    86535     0.00     0.00  Skipgeneric_58080
  0.00      3.84     0.00    84574     0.00     0.00  Idtableget_36173
  0.00      3.84     0.00    81173     0.00     0.00  Newnodep_47169
  0.00      3.84     0.00    80888     0.00     0.00  Qualifiedlookup_68055
  0.00      3.84     0.00    80608     0.00     0.00  Registerid_33440
  0.00      3.84     0.00    75338     0.00     0.00  Getsimpletypedesc_104683
  0.00      3.84     0.00    75338     0.00     0.00  Gettypepre_104693
  0.00      3.84     0.00    74022     0.00     0.00  Gettypedescaux_104377
  0.00      3.84     0.00    73977     0.00     0.00  Intsetcontains_33421
  0.00      3.84     0.00    71659     0.00     0.00  Newidentnodep_47222
  0.00      3.84     0.00    71275     0.00     0.00  Lowestexpraux_47406
  0.00      3.84     0.00    67448     0.00     0.00  Getcurrowner_33443
  0.00      3.84     0.00    66714     0.00     0.00  Putintodest_106874
  0.00      3.84     0.00    60411     0.00     0.00  asgnRefNoCycle
  0.00      3.84     0.00    58280     0.00     0.00  Initcandidate_82708
  0.00      3.84     0.00    57769     0.00     0.00  Gettypedesc_105262
  0.00      3.84     0.00    57152     0.00     0.00  Semexprwithtype_81080
  0.00      3.84     0.00    53720     0.00     0.00  Conchash_22040
  0.00      3.84     0.00    52554     0.00     0.00  Putlocintodest_106856
  0.00      3.84     0.00    52337     0.00     0.00  Getordvalue_58116
  0.00      3.84     0.00    49830     0.00     0.00  Fillloc_104133
  0.00      3.84     0.00    49415     0.00     0.00  Optind_47125
  0.00      3.84     0.00    48019     0.00     0.00  Transformcall_127929
  0.00      3.84     0.00    46918     0.00     0.00  Cachegettype_104416
  0.00      3.84     0.00    46820     0.00     0.00  Semsym_88680
  0.00      3.84     0.00    46750     0.00     0.00  Lookup_68051
  0.00      3.84     0.00    45097     0.00     0.00  Overlap_64006
  0.00      3.84     0.00    44628     0.00     0.00  Manglename_104270
  0.00      3.84     0.00    43998     0.00     0.00  Checksonslen_67095
  0.00      3.84     0.00    43510     0.00     0.00  Rawimportsymbol_69058
  0.00      3.84     0.00    40603     0.00     0.00  Addson_33345
  0.00      3.84     0.00    39987     0.00     0.00  Incheckpoint_25638
  0.00      3.84     0.00    39592     0.00     0.00  Newsym_33219
  0.00      3.84     0.00    38089     0.00     0.00  Exprcoloneqexpr_47303
  0.00      3.84     0.00    37444     0.00     0.00  Handlecrlf_45640
  0.00      3.84     0.00    37324     0.00     0.00  Sametypeornil_58055
  0.00      3.84     0.00    37091     0.00     0.00  Bitsetincl_63035
  0.00      3.84     0.00    35581     0.00     0.00  Fixabstracttype_87392
  0.00      3.84     0.00    34205     0.00     0.00  Lastson_33327
  0.00      3.84     0.00    32797     0.00     0.00  Getoperator_45691
  0.00      3.84     0.00    30823     0.00     0.00  Iterovertype_58041
  0.00      3.84     0.00    30790     0.00     0.00  Con_30025
  0.00      3.84     0.00    30751     0.00     0.00  Typenameorliteral_104658
  0.00      3.84     0.00    30471     0.00     0.00  Initoverloaditer_68060
  0.00      3.84     0.00    30356     0.00     0.00  Ccgintroducedptr_104424
  0.00      3.84     0.00    29577     0.00     0.00  Handleindentation_45713
  0.00      3.84     0.00    29256     0.00     0.00  Excl_4817
  0.00      3.84     0.00    28798     0.00     0.00  asgnRef
  0.00      3.84     0.00    28739     0.00     0.00  Firstord_58001
  0.00      3.84     0.00    28737     0.00     0.00  Analyseifaddresstakenincall_87861
  0.00      3.84     0.00    28733     0.00     0.00  Semopaux_86984
  0.00      3.84     0.00    28707     0.00     0.00  Semdirectop_88215
  0.00      3.84     0.00    28575     0.00     0.00  Parsesymbol_47253
  0.00      3.84     0.00    28314     0.00     0.00  Maptype_104373
  0.00      3.84     0.00    27891     0.00     0.00  Symtabaddunique_36145
  0.00      3.84     0.00    27455     0.00     0.00  Usemagic_104251
  0.00      3.84     0.00    27155     0.00     0.00  Semtypeident_84536
  0.00      3.84     0.00    26888     0.00     0.00  Getident_31021
  0.00      3.84     0.00    26633     0.00     0.00  Getcompilerproc_62011
  0.00      3.84     0.00    25660     0.00     0.00  Nexttry_36220
  0.00      3.84     0.00    25125     0.00     0.00  Adddecl_68028
  0.00      3.84     0.00    24553     0.00     0.00  Implicitconv_83243
  0.00      3.84     0.00    23923     0.00     0.00  Genprocprototype_106313
  0.00      3.84     0.00    23548     0.00     0.00  Transformaddrderef_126544
  0.00      3.84     0.00    23340     0.00     0.00  Tolinenumber_25620
  0.00      3.84     0.00    23140     0.00     0.00  Genlinedir_111762
  0.00      3.84     0.00    23023     0.00     0.00  Genliteral_106381
  0.00      3.84     0.00    22875     0.00     0.00  Genliteral_106513
  0.00      3.84     0.00    22804     0.00     0.00  Newtype_33224
  0.00      3.84     0.00    22726     0.00     0.00  Complexorsimplestmt_47765
  0.00      3.84     0.00    20623     0.00     0.00  Getsize_58122
  0.00      3.84     0.00    20177     0.00     0.00  Getsystype_62008
  0.00      3.84     0.00    19872     0.00     0.00  Skipptrsgeneric_58095
  0.00      3.84     0.00    19867     0.00     0.00  Newtypes_67073
  0.00      3.84     0.00    19508     0.00     0.00  Inittabiter_36084
  0.00      3.84     0.00    19040     0.00     0.00  Initstrtable_33264
  0.00      3.84     0.00    18977     0.00     0.00  Openscope_36156
  0.00      3.84     0.00    18977     0.00     0.00  Rawclosescope_36160
  0.00      3.84     0.00    18876     0.00     0.00  Isinvalidreturntype_104387
  0.00      3.84     0.00    18315     0.00     0.00  Idtableput_36181
  0.00      3.84     0.00    18229     0.00     0.00  Newnodeit_33259
  0.00      3.84     0.00    17349     0.00     0.00  appendString
  0.00      3.84     0.00    16025     0.00     0.00  Simplestmt_47760
  0.00      3.84     0.00    15789     0.00     0.00  Lookupinrecord_36209
  0.00      3.84     0.00    15738     0.00     0.00  Lastson_33330
  0.00      3.84     0.00    14741     0.00     0.00  Lookupinrecordandbuildcheck_88731
  0.00      3.84     0.00    14638     0.00     0.00  Genassignment_106729
  0.00      3.84     0.00    14430     0.00     0.00  Handlefloatrange_82896
  0.00      3.84     0.00    14333     0.00     0.00  Mangle_104255
  0.00      3.84     0.00    14159     0.00     0.00  Parseexprstmt_47452
  0.00      3.84     0.00    14148     0.00     0.00  Genrecordfieldaux_107397
  0.00      3.84     0.00    14103     0.00     0.00  Semdotexpr_86511
  0.00      3.84     0.00    14048     0.00     0.00  Semfieldaccess_88958
  0.00      3.84     0.00    14037     0.00     0.00  Makederef_88942
  0.00      3.84     0.00    14018     0.00     0.00  Genstmts_106329
  0.00      3.84     0.00    13841     0.00     0.00  Lastord_58004
  0.00      3.84     0.00    13751     0.00     0.00  Semmagic_88654
  0.00      3.84     0.00    13438     0.00     0.00  Stacksize_8402
  0.00      3.84     0.00    13126     0.00     0.00  Genmagicexpr_110095
  0.00      3.84     0.00    12957     0.00     0.00  Semstmt_81096
  0.00      3.84     0.00    12722     0.00     0.00  Elemtype_58098
  0.00      3.84     0.00    12595     0.00     0.00  mulInt64
  0.00      3.84     0.00    12552     0.00     0.00  Newintnode_33231
  0.00      3.84     0.00    12412     0.00     0.00  mnewString
  0.00      3.84     0.00    12075     0.00     0.00  Gencall_108131
  0.00      3.84     0.00    11582     0.00     0.00  Genrecordfield_107425
  0.00      3.84     0.00    11510     0.00     0.00  Equalparams_58067
  0.00      3.84     0.00    11474     0.00     0.00  Lengthord_58007
  0.00      3.84     0.00    10925     0.00     0.00  Intliteral_106333
  0.00      3.84     0.00    10653     0.00     0.00  Getident_31018
  0.00      3.84     0.00    10439     0.00     0.00  Lastoptionentry_67049
  0.00      3.84     0.00    10311     0.00     0.00  Hashtree_66029
  0.00      3.84     0.00    10311     0.00     0.00  Nodetabletestorset_66023
  0.00      3.84     0.00    10310     0.00     0.00  Makecstring_103010
  0.00      3.84     0.00    10297     0.00     0.00  Rdcharloc_106676
  0.00      3.84     0.00    10279     0.00     0.00  asgnRefNoCycle
  0.00      3.84     0.00    10177     0.00     0.00  Parsestmt_47023
  0.00      3.84     0.00     9858     0.00     0.00  Popinfocontext_25644
  0.00      3.84     0.00     9858     0.00     0.00  Pushinfocontext_25641
  0.00      3.84     0.00     9733     0.00     0.00  Samefile_18601
  0.00      3.84     0.00     9255     0.00     0.00  Popowner_33448
  0.00      3.84     0.00     9255     0.00     0.00  Pushowner_33445
  0.00      3.84     0.00     9212     0.00     0.00  Transformarrayaccess_127670
  0.00      3.84     0.00     8822     0.00     0.00  Searchtypeforaux_58601
  0.00      3.84     0.00     8749     0.00     0.00  Newintnodet_72024
  0.00      3.84     0.00     8592     0.00     0.00  Pushind_45271
  0.00      3.84     0.00     8477     0.00     0.00  Genasgn_114246
  0.00      3.84     0.00     8085     0.00     0.00  Isordinaltype_58071
  0.00      3.84     0.00     7908     0.00     0.00  Getlabel_106298
  0.00      3.84     0.00     7727     0.00     0.00  Gethashstr_22031
  0.00      3.84     0.00     7381     0.00     0.00  Isgbcref_58849
  0.00      3.84     0.00     7302     0.00     0.00  Canformacycleaux_58885
  0.00      3.84     0.00     7260     0.00     0.00  Parseidentcolonequals_47592
  0.00      3.84     0.00     7168     0.00     0.00  Concretetype_82874
  0.00      3.84     0.00     7152     0.00     0.00  Int32literal_106341
  0.00      3.84     0.00     7128     0.00     0.00  Binaryexpr_106994
  0.00      3.84     0.00     7113     0.00     0.00  Semcommand_95983
  0.00      3.84     0.00     7068     0.00     0.00  Newsons_33333
  0.00      3.84     0.00     6860     0.00     0.00  Newidentnode_33248
  0.00      3.84     0.00     6848     0.00     0.00  Semasgn_92399
  0.00      3.84     0.00     6844     0.00     0.00  Fitnode_84029
  0.00      3.84     0.00     6277     0.00     0.00  Copytype_33288
  0.00      3.84     0.00     6253     0.00     0.00  Genrefassign_106694
  0.00      3.84     0.00     6166     0.00     0.00  Semidentvis_81048
  0.00      3.84     0.00     5980     0.00     0.00  asgnRefNoCycle
  0.00      3.84     0.00     5937     0.00     0.00  Getstring_45648
  0.00      3.84     0.00     5880     0.00     0.00  Copyidtable_33316
  0.00      3.84     0.00     5880     0.00     0.00  Generatetypeinstance_82615
  0.00      3.84     0.00     5880     0.00     0.00  Instantiatetype_81950
  0.00      3.84     0.00     5870     0.00     0.00  Newstrnodep_47206
  0.00      3.84     0.00     5752     0.00     0.00  Skipvar_58086
  0.00      3.84     0.00     5658     0.00     0.00  Copysym_33293
  0.00      3.84     0.00     5448     0.00     0.00  Indandcomment_47163
  0.00      3.84     0.00     5447     0.00     0.00  Fixlabel_106303
  0.00      3.84     0.00     5352     0.00     0.00  Binaryarith_107228
  0.00      3.84     0.00     5308     0.00     0.00  Containsgarbagecollectedref_58104
  0.00      3.84     0.00     5190     0.00     0.00  Manglerecfieldname_104756
  0.00      3.84     0.00     5189     0.00     0.00  Generateinstance_81925
  0.00      3.84     0.00     5189     0.00     0.00  Instantiategenericparamlist_82220
  0.00      3.84     0.00     5092     0.00     0.00  Getnumber_45543
  0.00      3.84     0.00     5092     0.00     0.00  Setbaseflags_47354
  0.00      3.84     0.00     5000     0.00     0.00  Rawparseint_13847
  0.00      3.84     0.00     4999     0.00     0.00  Parsebiggestint_13206
  0.00      3.84     0.00     4885     0.00     0.00  Analyseobjectwithtypefield_58143
  0.00      3.84     0.00     4885     0.00     0.00  Analyseobjectwithtypefieldaux_58785
  0.00      3.84     0.00     4885     0.00     0.00  Genobjectinit_108595
  0.00      3.84     0.00     4688     0.00     0.00  Initvariable_111922
  0.00      3.84     0.00     4686     0.00     0.00  Assignlocalvar_106138
  0.00      3.84     0.00     4669     0.00     0.00  Evaltemplate_81323
  0.00      3.84     0.00     4669     0.00     0.00  Evaltemplateaux_81226
  0.00      3.84     0.00     4588     0.00     0.00  Namedtypeorexpr_47288
  0.00      3.84     0.00     4492     0.00     0.00  Namedtypeorexprlist_47295
  0.00      3.84     0.00     4452     0.00     0.00  Genprocheader_105284
