Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  9.19      0.34     0.34  7416539     0.00     0.00  dlfree
  8.65      0.66     0.32  5532073     0.00     0.00  Forallslotsaux_5658
  7.30      0.93     0.27  6173098     0.00     0.00  newObj
  6.76      1.18     0.25 31095932     0.00     0.00  Forallchildrenaux_5222
  5.41      1.38     0.20  7996779     0.00     0.00  dlmalloc
  5.41      1.58     0.20   800153     0.00     0.00  Splay_30158
  5.14      1.77     0.19    13398     0.00     0.00  Collectzct_9001
  3.24      1.89     0.12 17986180     0.00     0.00  Dooperation_5218
  2.97      2.00     0.11  6181787     0.00     0.00  Incl_4810
  2.97      2.11     0.11  4334492     0.00     0.00  Sametype_58051
  2.43      2.20     0.09   434247     0.00     0.00  Getuniquetype_103017
  2.43      2.29     0.09   356292     0.00     0.00  Copytree_33376
  2.43      2.38     0.09       60     0.00     0.00  Newcrcfromropeaux_30717
  1.89      2.45     0.07    13393     0.00     0.00  Markstackandregisters_8419
  1.62      2.51     0.06  1939965     0.00     0.00  genericAssign
  1.62      2.57     0.06   261094     0.00     0.00  Strtablerawinsert_37756
  1.62      2.63     0.06       60     0.00     0.00  Newwriteroperec_30512
  1.35      2.68     0.05   865391     0.00     0.00  Growobj_6406
  1.08      2.72     0.04  7038495     0.00     0.00  dlmalloc_footprint
  1.08      2.76     0.04  5372429     0.00     0.00  unsureAsgnRef
  1.08      2.80     0.04  4304340     0.00     0.00  Updatecrc32_28018
  1.08      2.84     0.04   722532     0.00     0.00  Addson_33341
  1.08      2.88     0.04   182619     0.00     0.00  Ropef_30071
  1.08      2.92     0.04    39781     0.00     0.00  Objectinitaux_10994
  1.08      2.96     0.04        5     0.01     0.01  Collectcycles_7403
  0.81      2.99     0.03  7038489     0.00     0.00  Collectct_5206
  0.81      3.02     0.03  5412920     0.00     0.00  setLengthSeq
  0.81      3.05     0.03   799807     0.00     0.00  asgnRefNoCycle
  0.81      3.08     0.03   149616     0.00     0.00  Nextidentiter_36105
  0.81      3.11     0.03    30473     0.00     0.00  Semdirectcall_83799
  0.54      3.13     0.02  5372429     0.00     0.00  Isonstack_5211
  0.54      3.15     0.02  3772756     0.00     0.00  Cmp_1139
  0.54      3.17     0.02  3715846     0.00     0.00  Addzct_4640
  0.54      3.19     0.02  2731349     0.00     0.00  Sonslen_33324
  0.54      3.21     0.02  1034906     0.00     0.00  objectInit
  0.54      3.23     0.02   404043     0.00     0.00  copyStrLast
  0.54      3.25     0.02   331233     0.00     0.00  Typerel_82868
  0.54      3.27     0.02   292298     0.00     0.00  Skip_45758
  0.54      3.29     0.02   220303     0.00     0.00  Newlineinfo_25609
  0.54      3.31     0.02   148597     0.00     0.00  Matches_83394
  0.54      3.33     0.02   125276     0.00     0.00  Symtabget_36126
  0.54      3.35     0.02   119361     0.00     0.00  Appf_30076
  0.54      3.37     0.02       60     0.00     0.00  Crcfromfile_28029
  0.27      3.38     0.01  7996777     0.00     0.00  Gcalloc_4561
  0.27      3.39     0.01  1470811     0.00     0.00  Sonslen_33321
  0.27      3.40     0.01  1377994     0.00     0.00  newSeq
  0.27      3.41     0.01   763174     0.00     0.00  incrSeq
  0.27      3.42     0.01   602971     0.00     0.00  Intsetcontainsorincl_33434
  0.27      3.43     0.01   406922     0.00     0.00  Genericassignaux_10898
  0.27      3.44     0.01   382034     0.00     0.00  asgnRef
  0.27      3.45     0.01   344047     0.00     0.00  Copynode_33373
  0.27      3.46     0.01   295979     0.00     0.00  Rawgettok_45285
  0.27      3.47     0.01   222854     0.00     0.00  Paramtypesmatch_83294
  0.27      3.48     0.01   213963     0.00     0.00  Intsetput_35577
  0.27      3.49     0.01   195485     0.00     0.00  Base_58024
  0.27      3.50     0.01   189833     0.00     0.00  Getident_31025
  0.27      3.51     0.01   148591     0.00     0.00  Nextoverloaditer_68066
  0.27      3.52     0.01   132786     0.00     0.00  Expr_106838
  0.27      3.53     0.01    88422     0.00     0.00  Primary_47399
  0.27      3.54     0.01    80890     0.00     0.00  Qualifiedlookup_68055
  0.27      3.55     0.01    75741     0.00     0.00  Skipvargenericrange_58092
  0.27      3.56     0.01    71663     0.00     0.00  Newidentnodep_47222
  0.27      3.57     0.01    48019     0.00     0.00  Transformcall_127929
  0.27      3.58     0.01    43510     0.00     0.00  Rawimportsymbol_69058
  0.27      3.59     0.01    39989     0.00     0.00  Incheckpoint_25638
  0.27      3.60     0.01    28798     0.00     0.00  asgnRef
  0.27      3.61     0.01    23925     0.00     0.00  Genprocprototype_106313
  0.27      3.62     0.01    22804     0.00     0.00  Newtype_33224
  0.27      3.63     0.01    19508     0.00     0.00  Inittabiter_36084
  0.27      3.64     0.01    14640     0.00     0.00  Genassignment_106729
  0.27      3.65     0.01    13751     0.00     0.00  Semmagic_88654
  0.27      3.66     0.01     5092     0.00     0.00  Getnumber_45543
  0.27      3.67     0.01     2459     0.00     0.00  Semcasebranch_85076
  0.27      3.68     0.01      561     0.00     0.00  Readbuffer_2709
  0.27      3.69     0.01       60     0.00     0.03  Processmodule_65035
  0.27      3.70     0.01                             __divdi3
  0.00      3.70     0.00  1219076     0.00     0.00  Write_2653
  0.00      3.70     0.00   800154     0.00     0.00  Insertincache_30215
  0.00      3.70     0.00   448725     0.00     0.00  Newnodei_33255
  0.00      3.70     0.00   418661     0.00     0.00  copyString
  0.00      3.70     0.00   389362     0.00     0.00  genericSeqAssign
  0.00      3.70     0.00   335614     0.00     0.00  addChar
  0.00      3.70     0.00   276886     0.00     0.00  Getconstexpr_72010
  0.00      3.70     0.00   261316     0.00     0.00  Intsetinit_33430
  0.00      3.70     0.00   259969     0.00     0.00  Getcolnumber_44038
  0.00      3.70     0.00   254329     0.00     0.00  Initidtable_33272
  0.00      3.70     0.00   219723     0.00     0.00  Getlineinfo_45294
  0.00      3.70     0.00   215133     0.00     0.00  Containsgenerictypeiter_81954
  0.00      3.70     0.00   213963     0.00     0.00  Intsetincl_33425
  0.00      3.70     0.00   211162     0.00     0.00  Add_4624
